match_id,date,team1,team2,venue,team1_winrate,team2_winrate,team1_form5,team2_form5,team1_form10,team2_form10,h2h_team1,team1_matches,team2_matches,venue_team1_wr,both_have_history,team1_won
354456,2008-08-03,Bermuda,Scotland,"Civil Service Cricket Club, Stormont",0.5,0.0,0.5,0.0,0.5,0.0,0.5,0,1,0.5,0,0
361531,2008-08-04,Netherlands,Scotland,"Civil Service Cricket Club, Stormont",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,2,0.5,0,1
361530,2008-08-04,Ireland,Kenya,"Civil Service Cricket Club, Stormont",0.5,0.0,0.5,0.0,0.5,0.0,0.5,0,4,0.5,0,1
361656,2008-10-11,Pakistan,Sri Lanka,Maple Leaf North-West Ground,0.9,0.625,0.8,0.6,0.9,0.625,1.0,10,8,0.5,1,1
361660,2008-10-13,Pakistan,Sri Lanka,Maple Leaf North-West Ground,0.9090909090909091,0.5555555555555556,0.8,0.4,0.9,0.5555555555555556,1.0,11,9,1.0,1,0
350347,2008-11-05,South Africa,Bangladesh,New Wanderers Stadium,0.5833333333333334,0.25,0.6,0.0,0.7,0.25,1.0,12,8,0.6666666666666666,1,1
366708,2008-12-28,New Zealand,West Indies,Seddon Park,0.3333333333333333,0.42857142857142855,0.0,0.4,0.2,0.42857142857142855,0.5,15,7,0.5,1,1
351694,2009-01-11,Australia,South Africa,Melbourne Cricket Ground,0.5333333333333333,0.6153846153846154,0.4,0.6,0.5,0.7,0.5,15,13,1.0,1,1
351695,2009-01-13,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",0.5625,0.5714285714285714,0.6,0.6,0.6,0.7,0.6666666666666666,16,14,1.0,1,1
386535,2009-02-10,Sri Lanka,India,R Premadasa Stadium,0.6,0.75,0.4,0.8,0.6,0.75,0.5,10,8,0.5,1,0
351696,2009-02-15,Australia,New Zealand,Sydney Cricket Ground,0.5882352941176471,0.375,0.8,0.2,0.6,0.3,1.0,17,16,1.0,1,1
386494,2009-02-25,New Zealand,India,AMI Stadium,0.35294117647058826,0.7777777777777778,0.2,0.8,0.2,0.7777777777777778,1.0,17,9,0.5,1,1
366622,2009-02-27,New Zealand,India,Westpac Stadium,0.3888888888888889,0.7,0.4,0.6,0.2,0.7,1.0,18,10,0.0,1,1
